안전조직수준,위원회수준,인증보유,위험성평가수준,교육훈련도움,정리정돈상태,작업중지권,작업반장기여,전문지도,고용노동부감독,안전보건공단지원,공사규모,발주처,기성공정률,공사종류,외국인비율,사고발생
2,0,1,2,5,5,5,5,1,0,1,1,1,4,7,0.0,0
2,2,0,2,5,5,5,4,0,1,1,1,3,3,3,40.0,0
2,2,1,2,5,4,5,5,0,0,1,3,2,4,4,30.0,1
2,2,0,2,4,4,5,5,0,0,1,2,2,2,1,22.22,0
1,2,0,2,4,5,4,5,1,0,1,2,3,1,3,0.0,1
2,2,0,2,3,4,4,4,1,1,1,1,3,3,3,25.0,0
2,2,0,2,4,4,4,4,1,1,1,1,2,5,3,14.29,1
2,2,0,2,5,5,5,4,0,0,0,2,2,1,2,25.0,0
2,2,0,2,5,4,5,4,0,1,1,2,2,4,4,30.0,0
2,2,1,2,5,4,5,4,0,1,1,3,3,1,1,0.0,0
2,2,0,2,5,5,5,5,0,1,1,1,2,2,4,40.0,0
2,2,0,2,4,4,5,4,0,1,1,2,2,5,1,8.33,0
2,2,0,2,3,4,4,3,0,1,0,2,1,6,4,3.75,1
2,2,1,2,4,4,4,3,1,1,1,3,3,3,1,44.44,1
2,2,0,2,4,4,5,5,0,0,1,3,2,2,4,3.33,0
2,2,0,1,4,4,5,4,0,0,0,1,2,3,3,0.0,0
2,2,1,2,4,3,3,3,0,1,1,2,1,6,3,0.0,0
2,2,1,2,5,5,3,2,0,0,0,3,2,1,1,3.85,0
2,1,0,2,4,5,4,4,0,1,1,2,2,4,3,71.43,1
2,1,1,2,4,5,5,4,0,1,1,1,2,3,1,50.0,1
2,2,0,2,5,5,5,4,0,0,1,2,2,5,3,23.08,1
2,2,1,2,4,3,5,4,1,0,1,2,2,4,3,20.0,0
2,2,1,2,5,4,5,4,0,1,1,3,2,5,4,7.14,0
2,2,1,2,5,5,5,5,1,1,1,3,2,6,1,4.44,0
2,1,0,2,4,3,3,4,1,1,1,1,2,5,3,0.0,1
1,0,0,0,5,4,5,4,0,0,0,1,3,5,7,0.0,1
1,2,0,2,4,5,4,4,0,0,1,2,2,3,3,33.33,0
2,1,0,2,2,3,3,3,0,0,1,2,2,2,4,50.0,0
1,1,0,2,2,3,3,2,0,0,1,2,2,2,3,0.0,0
2,1,1,2,5,5,5,5,0,1,1,2,2,2,3,0.0,0
1,2,0,2,4,4,4,4,1,1,1,1,2,3,3,45.45,0
2,2,1,2,5,5,5,4,1,1,1,2,2,2,4,40.0,1
2,2,1,2,3,3,4,3,0,0,1,2,2,2,3,76.0,1
2,2,1,1,3,2,5,3,1,0,0,2,2,2,4,30.0,0
1,2,0,0,4,4,3,3,1,1,1,1,3,4,4,0.0,0
2,2,1,2,5,5,5,5,0,0,1,3,1,2,4,0.0,0
2,1,0,2,4,4,5,4,0,0,1,2,3,2,4,50.0,0
2,0,0,0,4,4,5,4,0,1,1,1,2,3,4,12.0,0
2,2,0,2,4,4,4,4,0,0,1,1,2,4,4,0.0,1
2,2,0,2,5,5,5,5,0,1,1,2,2,3,4,11.43,1
2,2,0,2,4,5,4,4,0,1,1,2,2,6,6,0.0,0
2,0,1,2,5,4,5,5,0,1,1,1,1,3,6,0.0,0
2,2,0,2,5,4,5,4,0,1,1,2,2,4,3,0.0,1
1,2,0,2,4,4,5,5,1,1,1,2,2,4,3,26.67,0
2,0,1,0,4,4,3,4,1,1,0,2,2,6,4,0.0,1
2,2,0,2,4,5,5,5,0,0,1,1,3,1,3,0.0,0
2,2,0,2,5,5,4,5,0,1,1,2,3,1,3,0.0,0
2,2,1,2,5,5,5,5,0,0,1,3,2,2,3,40.0,1
2,2,0,2,5,5,4,4,0,1,1,2,2,1,3,0.0,0
1,2,0,2,5,4,3,3,0,1,1,2,3,2,3,40.0,0
2,2,0,2,4,4,4,4,1,0,1,2,3,2,3,44.44,0
2,2,1,2,4,5,4,5,0,0,1,1,1,6,1,55.56,1
1,0,0,0,4,4,4,4,1,1,1,1,2,3,5,0.0,0
2,2,1,2,4,4,4,4,0,0,1,3,3,1,1,2.22,0
1,0,0,2,5,5,5,5,1,1,1,1,1,6,3,10.34,0
2,2,1,2,4,4,4,4,0,0,0,2,3,2,1,30.0,0
2,2,0,2,4,4,3,4,1,0,1,2,3,2,1,31.25,0
2,2,0,1,4,4,4,3,0,0,1,2,3,2,3,50.0,0
2,1,1,2,3,4,3,3,0,1,1,2,2,3,1,22.86,1
2,2,0,0,5,5,5,5,0,1,1,2,2,4,3,0.0,1
2,2,1,2,3,3,4,3,1,1,1,2,2,5,3,20.0,1
